"org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Chungnam","Male","30-34",112742,47630,0.296996982016811,0.337540543968173,0.927400499156694,0.0725995008433058,0.337540543968173,0.0245052750064673,1.6264395323247,17.8178385763502,52.7872544343302,2000
"Chungnam","Male","35-39",140867,53549,0.275435149370422,0.313035268961706,0.947353966976077,0.052646033023923,0.313035268961706,0.0164800651074106,1.52397618204,16.1913990440255,51.7238811387934,2000
"Chungnam","Male","40-44",140857,49731,0.260934581400718,0.296555203854295,0.999999,1e-06,0.296555203854295,2.96555203854295e-07,1.48277527788347,14.6674228619855,49.4593339498165,2000
"Chungnam","Male","45-49",105901,43122,0.28936472893446,0.328866399067355,0.999999,1e-06,0.296554907299091,2.96554907299091e-07,1.48277379510819,13.184647584102,44.4593809091974,2000
"Chungnam","Male","50-54",85781,39278,0.314075756243053,0.35695077064283,0.999999,1e-06,0.296554610744184,2.96554610744184e-07,1.48277231233439,11.7018737889938,39.4594228686202,2000
"Chungnam","Male","55-59",61258,33865,0.356012741397979,0.40461264479877,0.999999,1e-06,0.296554314189573,2.96554314189573e-07,1.48277082956208,10.2191014766594,34.4594598280801,2000
"Chungnam","Male","60-64",44672,39446,0.468936493972753,0.532951810443419,0.999999,1e-06,0.296554017635259,2.96554017635259e-07,1.48276934679125,8.73633064709735,29.4594917875719,2000
"Chungnam","Male","65-69",31574,33856,0.517438483875898,0.588074889285074,0.999999,1e-06,0.296553721081241,2.96553721081241e-07,1.4827678640219,7.2535613003061,24.4595187470906,2000
"Chungnam","Male","70-74",17076,21219,0.554093223658441,0.629733429790079,0.999999,1e-06,0.29655342452752,2.9655342452752e-07,1.48276638125404,5.7707934362842,19.4595407066313,2000
"Chungnam","Male","75-79",9034,12383,0.578185553532241,0.657114644494149,0.999999,1e-06,0.296553127974096,2.96553127974096e-07,1.48276489848766,4.28802705503016,14.459557666189,2000
"Chungnam","Male","80-84",3893,6382,0.621119221411192,0.705909260223914,0.927942926082122,0.0720570739178775,0.296552831420968,0.0213687292942566,1.4293423338692,2.8052621565425,9.4595696257586,2000
"Chungnam","Male","85+",1717,2336,0.576363187762151,0.655043504480645,0.999999,1e-06,0.275184102126711,2.75184102126711e-07,1.3759198226733,1.3759198226733,4.9999975,2000
"Chungnam","Total","0-4",15031,99046,0.868238119866406,1,0.908644415373421,0.0913555846265791,1,0.0913555846265791,4.77161103843355,36.5688874269186,36.5688874269186,2000
"Chungnam","Total","5-9",22822,85298,0.788919718830929,0.908644415373421,0.938408654008128,0.0615913459918721,0.908644415373421,0.0559646325708467,4.40331049543999,31.7972763884851,34.9941911824963,2000
"Chungnam","Total","10-14",28690,81796,0.740329091468602,0.852679782802574,0.864128063638408,0.135871936361592,0.852679782802574,0.115855253185767,3.97376078104845,27.3939658930451,32.1269091229149,2000
